amfi_code,cagr,sharpe_ratio,alpha,beta,max_drawdown,cagr_rank,sharpe_rank,alpha_rank,dd_rank,fund_score
120505,0.3280159948038617,1.1801011976606492,0.29301371282563315,-0.017391171743071674,-0.18188513572116294,1.0,5.0,3.0,25.0,42.06666666666666
119598,0.3239808398464554,0.9453082575156095,0.3011144193310002,0.07426648483802883,-0.2870600572176455,2.0,14.0,1.0,36.0,37.06349206349206
148567,0.30949920362874206,1.4482911703262598,0.2711501636821103,-0.028133312231657458,-0.11265729075028275,5.0,1.0,7.0,8.0,35.107142857142854
120843,0.30883325525154603,1.3067439695428409,0.2727835993505962,-0.008737359353900992,-0.1297396816518679,6.0,2.0,5.0,13.0,22.26923076923077
149324,0.3226210752841656,0.9497958246616031,0.2981786893056835,0.13260808824054152,-0.31171900300634214,3.0,13.0,2.0,37.0,22.193347193347194
148569,0.31924485848158723,1.2349300257743294,0.28347336470728673,-0.010201365088271732,-0.1639674294693263,4.0,3.0,4.0,21.0,21.309523809523807
120507,0.0723241093234459,0.4957233929533123,0.06747180157927476,-0.0011254611770458527,-0.0009773140045925555,29.0,23.0,31.0,1.0,12.766600570682401
119551,0.2578492084946409,1.2082665673727175,0.23219648016717326,-0.05604508562674625,-0.1501238549864533,10.0,4.0,10.0,17.0,11.838235294117647
100033,0.30099703552874524,1.093698743534631,0.2723430403957973,-0.011199710059456146,-0.16217208574644848,7.0,7.0,6.0,20.0,11.69047619047619
149323,0.29558105232568344,1.1321218524747243,0.26583594480787764,0.003478530079790704,-0.17248105753451382,8.0,6.0,8.0,22.0,10.871212121212121
119094,0.28192608222062465,0.9982309868636413,0.25997054053321056,-0.05986815058386661,-0.20960883862039192,9.0,11.0,9.0,28.0,8.185425685425685
118632,0.2403119561352478,1.0816591793457042,0.21728068775563278,0.03643421773147288,-0.17414075086657232,11.0,8.0,11.0,23.0,8.105237154150197
101206,0.23520488754230384,1.0272133278753695,0.2139447485061358,0.03381398454659163,-0.11291596329323073,12.0,9.0,12.0,9.0,8.055555555555555
120844,0.0691037983940288,-0.08874729621557288,0.06454601487990588,-7.563158272733894e-05,-0.0011629327956168556,30.0,34.0,32.0,2.0,7.360294117647059
120504,0.2327744753273051,1.0265242847993001,0.2120943009940057,0.017025361766949257,-0.12588275606922517,13.0,10.0,13.0,12.0,7.17948717948718
119552,0.21508021785499332,0.9532794968660104,0.1982932218749148,-0.01985302504967574,-0.11803493502764295,15.0,12.0,15.0,11.0,6.325757575757575
148568,0.22499840384352243,0.9262873467360144,0.2079171509667248,5.11619674095988e-05,-0.1527259422823477,14.0,15.0,14.0,19.0,5.764411027568921
102885,0.18218826089343754,0.8170993373494367,0.16992711557794749,-0.0018841874054637252,-0.1085986215250232,18.0,16.0,19.0,7.0,5.710369674185463
101208,0.06504429821332125,-0.8155673679088263,0.06084211292226629,0.0013273169546884351,-0.0016224980244717857,32.0,40.0,33.0,3.0,5.5018939393939394
125497,0.19003613208378556,0.7757902498211205,0.1789129568352085,-0.005459316559048835,-0.15200013055606398,16.0,18.0,16.0,18.0,5.069444444444445
120503,0.18771330105513617,0.7979728586052847,0.17587937785242744,-0.004111147836045636,-0.13897862823061635,17.0,17.0,18.0,14.0,5.060690943043885
100025,0.04455091155784441,-0.5670947928476846,0.043189313078713834,-0.0161756408512603,-0.04308263824636349,36.0,39.0,38.0,4.0,4.5006747638326585
118635,0.15945481185082522,0.664856998549062,0.15160602363545675,-0.013806609371555967,-0.1165062450540909,23.0,19.0,23.0,10.0,4.4897025171624705
120506,0.17072227512921923,0.6488787755249532,0.16283731486753183,0.04770801520256509,-0.1982565826298267,19.0,20.0,20.0,27.0,4.199317738791423
119120,0.05885271270380055,-0.22657538662791576,0.055762723198290544,0.011990672594122526,-0.04328728923970093,34.0,37.0,34.0,5.0,4.146263910969793
102887,0.16828673461948984,0.6195175900829828,0.16179316452470288,0.04011620562000178,-0.21539827112383225,20.0,22.0,21.0,30.0,3.9220779220779227
118634,0.16361396476593382,0.44843400890899127,0.1780020912356628,0.009128170084160621,-0.2334488614483311,21.0,26.0,17.0,32.0,3.879080478345184
118633,0.16262218000296524,0.6452074382933215,0.15503795076034138,0.013157652619096481,-0.18629743138595511,22.0,21.0,22.0,26.0,3.8478188478188478
118636,0.053131554027608274,-0.35662950751436784,0.05096267106480351,-0.008492388448091663,-0.08316361763638702,35.0,38.0,35.0,6.0,3.7531328320802
149322,0.13383520958789363,0.46403744922047774,0.13129906992674878,0.014848756863667921,-0.14844576917771746,25.0,25.0,24.0,16.0,3.658333333333333
120841,0.13522349085511554,0.4942725378672349,0.13068278268538389,0.04167578236653616,-0.1757361416468729,24.0,24.0,25.0,24.0,3.5083333333333333
125498,0.11293660210400969,0.30061192104254786,0.12055386350487392,-0.01851286878959152,-0.21117279560132118,26.0,27.0,26.0,29.0,3.1938304352097457
119092,0.0636349475771898,0.03078485095458594,0.0697017081135713,-0.019608739866468185,-0.1440161790933726,33.0,31.0,30.0,15.0,3.048875855327468
101207,0.07933120999915699,0.16266076928646772,0.10820454812152297,-0.059855845864600625,-0.3544691649336603,27.0,28.0,27.0,38.0,3.0078668894458365
119093,0.07891944369437343,0.12961449795669328,0.08329931222337687,-0.008427720099019357,-0.21751396370148224,28.0,29.0,28.0,31.0,2.970363896392817
120842,0.06696806255006482,0.07599984804658923,0.0785865149291694,0.0006475555544426223,-0.24003511326274884,31.0,30.0,29.0,33.0,2.793760744261301
119599,0.02053064146209893,-0.05718662582817995,0.050572431452751046,0.007680982959652928,-0.5257422117012851,38.0,32.0,36.0,40.0,2.376279239766082
100016,0.026352458116335464,-0.20151706755966936,0.03622082583927385,-0.02590940576586108,-0.24734440880673303,37.0,35.0,39.0,34.0,2.332034684975861
119095,0.015204552427132478,-0.0759735711747892,0.045680128064692294,0.013291723470735529,-0.5167775370852656,39.0,33.0,37.0,39.0,2.3237573237573237
102886,0.0117093879842316,-0.20583160785470309,0.028949366251249286,-0.061476067471883084,-0.2800112356639287,40.0,36.0,40.0,35.0,2.2301587301587302
